Счет по материалу;Финансовая позиция
3101010000;2.01.01.01.02
3101010100;2.01.01.08.04
3101020000;2.01.01.01.01
3101030000;2.01.01.01.03
3101030100;2.01.01.08.04
3101040000;2.01.01.01.04
3101040100;2.01.01.08.04
3101050000;2.01.01.01.05
3102010100;2.01.01.02.01.01.02
3102010200;2.01.01.02.01.01.03
3102010300;2.01.01.02.01.01.04
3102020000;2.01.01.08.02
3103010000;2.01.01.02.01.02.02
3103020000;2.01.01.02.01.02.03
3103030000;2.01.01.02.01.02.04
3103040000;2.01.01.02.01.02.05
3104010000;2.01.01.08.03
3104020000;2.01.01.04
3104030000;2.01.01.04
3104040000;2.01.01.02.01.03
3105010000;2.01.01.06
3106010000;2.01.01.08.05.01
3106020000;2.01.01.08.05.01
3107010000;2.01.01.08.05.05
3107010100;2.01.01.08.04
3107020000;2.01.01.08.05.05
3107020100;2.01.01.08.04
3107030000;2.01.01.08.05.05
3107030100;2.01.01.08.04
3107040000;2.01.01.08.05.05
3107040100;2.01.01.08.04
3108010000;2.01.01.08.05.05
3108010100;2.01.01.08.04
3108020000;2.01.01.08.05.05
3108020100;2.01.01.08.04
3108030000;2.01.01.08.05.05
3108030100;2.01.01.08.04
3109010000;2.01.01.08.05.05
3109010100;2.01.01.08.04
3110010000;2.01.01.08.05.03
3110010100;2.01.01.08.04
3111010000;2.01.01.08.05.02
3111010100;2.01.01.08.04
3111020000;2.01.01.08.05.05
3111020100;2.01.01.08.04
3112010000;2.01.01.08.05.05
3113010000;2.01.01.08.05.05
3113010100;2.01.01.08.04
3114010000;2.01.01.08.05.04
3114010100;2.01.01.08.04
3115010000;2.01.01.08.05.05
3115010100;2.01.01.08.04
3115020000;2.01.01.08.05.05
3115020100;2.01.01.08.04
3116010000;2.01.01.08.01
3116010100;2.01.01.08.04
3117010000;2.01.01.08.05.05
3117010100;2.01.01.08.04
3118010000;2.01.01.08.05.05
3118010100;2.01.01.08.04
3119010000;2.01.01.08.05.05
3120010000;2.01.01.08.05.05
3120010100;2.01.01.08.04
3201010000;2.01.03.01.01
3201010100;2.01.03.01.01
3201020000;2.01.03.01.01
3201020100;2.01.03.01.01
3201030000;2.01.27
3201040000;2.01.03.01.01
3201040100;2.01.03.01.01
3201060000;2.01.03.01.01
3201060100;2.01.03.01.01
3201070000;2.01.03.01.01
3201070100;2.01.03.01.01
3201080000;2.01.03.01.01
3201080100;2.01.03.01.01
3201090000;2.01.03.01.01
3201090100;2.01.03.01.01
3201100000;2.01.03.01.01
3201100100;2.01.03.01.01
3201110000;2.01.03.01.01
3201110100;2.01.03.01.01
3201120000;2.01.03.01.01
3201120100;2.01.03.01.01
3201130000;2.01.03.01.01
3201130100;2.01.03.01.01
3201140000;2.01.03.01.01
3201140100;2.01.03.01.01
3201150000;2.01.03.01.01
3201150100;2.01.03.01.01
3201160000;2.01.03.01.01
3501010000;2.01.02.01
3501020000;2.01.02.01
3501040000;2.01.02.01
3501050000;2.01.02.01
3501060000;2.01.02.01
3502010000;2.01.02.03
3502020000;2.01.02.03
3502030000;2.01.02.05.07
3502040000;2.01.02.05.02
3502050000;2.01.02.05.02
3503010000;2.01.08.14.05
3503020000;2.01.02.05.04
3503030000;2.01.02.05.07
3503040000;2.01.02.05.05
3503050000;2.01.01.08.04
3503060000;2.01.08.14.06
3503070000;2.01.02.05.07
3503080000;2.01.02.05.07
3503100000;2.01.02.05.07
3503500000;2.01.02.05.07
3504000000;2.01.02.05.01
3505010000;2.01.02.04
3505020000;2.01.02.05.07
3505030000;2.01.02.05.07
3506010000;2.01.02.02.03
3506020000;2.01.02.02.01
3506030000;2.01.02.02.01
3506040000;2.01.02.02.02
3506050000;2.01.02.02.03
3506500000;2.01.02.02.03
3507010000;2.01.12.02
3507020000;2.01.12.01
3507030000;2.01.12.03
3507040000;2.01.12.04
3508000000;2.01.13
3509010000;2.01.14.02.02
3509020000;2.01.14.02.02
3509030000;2.01.14.02.01
3509040000;2.01.14.02.02
3509050000;2.01.14.02.01
3509060000;2.01.14.02.02
3509070000;2.01.14.02.02
3509080000;2.01.14.02.02
3509090000;2.01.14.01
3509100000;2.01.14.01
3509500000;2.01.14.02.02
3509600000;2.01.14.02.02
3510010000;2.01.07.01
3510020000;2.01.07.02
3510030000;2.01.06
3510040000;2.01.07.03
3510050000;2.01.07.03
3511010000;2.01.08.01
3511020000;2.01.08.01
3511030000;2.01.08.01
3511040000;2.01.08.01
3512010000;2.01.08.02
3512020000;2.01.08.02
3512030000;2.01.08.02
3513010000;2.01.08.03.02
3513020000;2.01.08.03.01
3513030000;2.01.08.03.02
3514010000;2.01.08.09
3514020000;2.01.08.09
3514030000;2.01.08.04
3514040000;2.01.08.05
3515010000;2.01.08.11.01
3515020000;2.01.08.11.01
3515030000;2.01.08.11.02
3515040000;2.01.08.11.02
3515050000;2.01.08.11.02
3516010000;2.01.08.12
3516020000;2.01.08.12
3516030000;2.01.08.12
3517010000;2.01.09
3517020000;2.01.09
3517030000;2.01.09
3517040000;2.01.09
3517050000;2.01.09
3517060000;2.01.09
3518000000;2.01.10
3519010000;2.01.08.08
3519020000;2.01.08.14.01
3519030000;2.01.08.14.04
3519050000;2.01.08.08
3520000000;2.01.05.01
3522000000;2.01.08.13
3522010000;2.01.08.13
3522020000;2.01.08.13
3522030000;2.01.08.13
3523000000;2.01.08.14.06
3524000000;2.01.02.05.06
3527010000;2.01.24.09.03
3527020000;2.01.24.05
3528010000;2.01.08.14.06
3528020000;2.01.08.14.06
3528030000;2.01.08.14.06
3528040000;2.01.08.14.06
3528050000;2.01.08.10
3528060000;2.01.08.14.06
3528070000;2.01.02.05.06
3528080000;2.01.08.14.06
3528090000;2.01.08.14.06
3528100000;2.01.08.14.06
3528110000;2.01.08.14.03
3528500000;2.01.08.14.06
3530010000;2.02.01.03
3530070000;2.02.01.04.02
3530080000;2.02.01.04.01
3530090000;2.02.01.04.01
3530100000;2.02.01.04.04
3530110000;2.02.01.04.05