ПФМ;Название;4;5
D;ТГК-1;;
D100;Управление ПАО ТГК-1;;
D10001;Апп. ГД(УпрТГК-1);;
D10002;ПравВопр(УпрТГК-1);;
D10003;СвязОбщ.(УпрТГК-1);;
D10004;АдмСерв(УпрТГК-1);;
D10005;ГО и ЧС(УпрТГК-1);;
D10006;Ремонт.(УпрТГК-1);;
D10007;Эксплуат.(УпрТГК-1);;
D10008;Произв.(УпрТГК-1);;
D10009;Метролог(УпрТГК-1);;
D10010;СбытТЭ(УпрТГК-1);;
D10011;СбытЭЭ(УпрТГК-1);;
D10012;КорпЗащит(УпрТГК-1);;
D10013;ОплТруда(УпрТГК-1);;
D10014;ПодгКадр(УпрТГК-1);;
D10015;Соц-труд(УпрТГК-1);;
D10016;Ресурсооб(УпрТГК-1);;
D10017;СкладЛог(УпрТГК-1);;
D10018;Транспорт(УпрТГК-1);;
D10019;Эконом. (УпрТГК-1);;
D10020;УпрИмущ(УпрТГК-1);;
D10021;Финансы(УпрТГК-1);;
D10022;Бухгалт.(УпрТГК-1);;
D10023;Развитие(УпрТГК-1);;
D10024;КапСтрой(УпрТГК-1);;
D10025;Тех(УпрТГК-1);;
D200;"Апп.управ.""Невский""";;
D20001;Апп. ГД(Невский);;
D20002;ПравВопр(Невский);;
D20003;СвязОбщ.(Невский);;
D20004;АдмСерв(Невский);;
D20005;ГО и ЧС(Невский);;
D20006;Ремонт.(Невский);;
D20007;Эксплуат.(Невский);;
D20008;Произв.(Невский);;
D20009;Метролог(Невский);;
D20010;СбытТЭ(Невский);;
D20011;СбытЭЭ(Невский);;
D20012;КорпЗащит(Невский);;
D20013;ОплТруда(Невский);;
D20014;ПодгКадр(Невский);;
D20015;Соц-труд(Невский);;
D20016;Ресурсооб(Невский);;
D20017;СкладЛог(Невский);;
D20018;Транспорт(Невский);;
D20019;Эконом. (Невский);;
D20020;УпрИмущ(Невский);;
D20021;Финансы(Невский);;
D20022;Бухгалт.(Невский);;
D20023;Развитие(Невский);;
D20024;КапСтрой(Невский);;
D20025;Тех(Невский);;
D202;ЦТЭЦ 2 Центральная;;
D20201;Апп. ГД(ЦТЭЦ 2);;
D20202;ПравВопр(ЦТЭЦ 2);;
D20203;СвязОбщ.(ЦТЭЦ 2);;
D20204;АдмСерв(ЦТЭЦ 2);;
D20205;ГО и ЧС(ЦТЭЦ 2);;
D20206;Ремонт.(ЦТЭЦ 2);;
D20207;Эксплуат.(ЦТЭЦ 2);;
D20208;Произв.(ЦТЭЦ 2);;
D20209;Метролог(ЦТЭЦ 2);;
D20210;СбытТЭ(ЦТЭЦ 2);;
D20211;СбытЭЭ(ЦТЭЦ 2);;
D20212;КорпЗащит(ЦТЭЦ 2);;
D20213;ОплТруда(ЦТЭЦ 2);;
D20214;ПодгКадр(ЦТЭЦ 2);;
D20215;Соц-труд(ЦТЭЦ 2);;
D20216;Ресурсооб(ЦТЭЦ 2);;
D20217;СкладЛог(ЦТЭЦ 2);;
D20218;Транспорт(ЦТЭЦ 2);;
D20219;Эконом. (ЦТЭЦ 2);;
D20220;УпрИмущ(ЦТЭЦ 2);;
D20221;Финансы(ЦТЭЦ 2);;
D20222;Бухгалт.(ЦТЭЦ 2);;
D20223;Развитие(ЦТЭЦ 2);;
D20224;КапСтрой(ЦТЭЦ 2);;
D20225;Тех(ЦТЭЦ 2);;
D205;ТЭЦ 5 Правобережная;;
D20501;Апп. ГД(ТЭЦ 5);;
D20502;ПравВопр(ТЭЦ 5);;
D20503;СвязОбщ.(ТЭЦ 5);;
D20504;АдмСерв(ТЭЦ 5);;
D20505;ГО и ЧС(ТЭЦ 5);;
D20506;Ремонт.(ТЭЦ 5);;
D20507;Эксплуат.(ТЭЦ 5);;
D20508;Произв.(ТЭЦ 5);;
D20509;Метролог(ТЭЦ 5);;
D20510;СбытТЭ(ТЭЦ 5);;
D20511;СбытЭЭ(ТЭЦ 5);;
D20512;КорпЗащит(ТЭЦ 5);;
D20513;ОплТруда(ТЭЦ 5);;
D20514;ПодгКадр(ТЭЦ 5);;
D20515;Соц-труд(ТЭЦ 5);;
D20516;Ресурсооб(ТЭЦ 5);;
D20517;СкладЛог(ТЭЦ 5);;
D20518;Транспорт(ТЭЦ 5);;
D20519;Эконом. (ТЭЦ 5);;
D20520;УпрИмущ(ТЭЦ 5);;
D20521;Финансы(ТЭЦ 5);;
D20522;Бухгалт.(ТЭЦ 5);;
D20523;Развитие(ТЭЦ 5);;
D20524;КапСтрой(ТЭЦ 5);;
D20525;Тех(ТЭЦ 5);;
D207;ТЭЦ 7 Василеостровск;;
D20701;Апп. ГД(ТЭЦ 7 );;
D20702;ПравВопр(ТЭЦ 7 );;
D20703;СвязОбщ.(ТЭЦ 7 );;
D20704;АдмСерв(ТЭЦ 7 );;
D20705;ГО и ЧС(ТЭЦ 7 );;
D20706;Ремонт.(ТЭЦ 7 );;
D20707;Эксплуат.(ТЭЦ 7 );;
D20708;Произв.(ТЭЦ 7 );;
D20709;Метролог(ТЭЦ 7 );;
D20710;СбытТЭ(ТЭЦ 7 );;
D20711;СбытЭЭ(ТЭЦ 7 );;
D20712;КорпЗащит(ТЭЦ 7 );;
D20713;ОплТруда(ТЭЦ 7 );;
D20714;ПодгКадр(ТЭЦ 7 );;
D20715;Соц-труд(ТЭЦ 7 );;
D20716;Ресурсооб(ТЭЦ 7 );;
D20717;СкладЛог(ТЭЦ 7 );;
D20718;Транспорт(ТЭЦ 7 );;
D20719;Эконом. (ТЭЦ 7 );;
D20720;УпрИмущ(ТЭЦ 7 );;
D20721;Финансы(ТЭЦ 7 );;
D20722;Бухгалт.(ТЭЦ 7 );;
D20723;Развитие(ТЭЦ 7 );;
D20724;КапСтрой(ТЭЦ 7 );;
D20725;Тех(ТЭЦ 7 );;
D208;ТЭЦ 8 Дубровская;;
D20801;Апп. ГД(ТЭЦ 8);;
D20802;ПравВопр(ТЭЦ 8);;
D20803;СвязОбщ.(ТЭЦ 8);;
D20804;АдмСерв(ТЭЦ 8);;
D20805;ГО и ЧС(ТЭЦ 8);;
D20806;Ремонт.(ТЭЦ 8);;
D20807;Эксплуат.(ТЭЦ 8);;
D20808;Произв.(ТЭЦ 8);;
D20809;Метролог(ТЭЦ 8);;
D20810;СбытТЭ(ТЭЦ 8);;
D20811;СбытЭЭ(ТЭЦ 8);;
D20812;КорпЗащит(ТЭЦ 8);;
D20813;ОплТруда(ТЭЦ 8);;
D20814;ПодгКадр(ТЭЦ 8);;
D20815;Соц-труд(ТЭЦ 8);;
D20816;Ресурсооб(ТЭЦ 8);;
D20817;СкладЛог(ТЭЦ 8);;
D20818;Транспорт(ТЭЦ 8);;
D20819;Эконом. (ТЭЦ 8);;
D20820;УпрИмущ(ТЭЦ 8);;
D20821;Финансы(ТЭЦ 8);;
D20822;Бухгалт.(ТЭЦ 8);;
D20823;Развитие(ТЭЦ 8);;
D20824;КапСтрой(ТЭЦ 8);;
D20825;Тех(ТЭЦ 8);;
D213;ГЭС 13 Нарвская;;
D21301;Апп. ГД(ГЭС 13);;
D21302;ПравВопр(ГЭС 13);;
D21303;СвязОбщ.(ГЭС 13);;
D21304;АдмСерв(ГЭС 13);;
D21305;ГО и ЧС(ГЭС 13);;
D21306;Ремонт.(ГЭС 13);;
D21307;Эксплуат.(ГЭС 13);;
D21308;Произв.(ГЭС 13);;
D21309;Метролог(ГЭС 13);;
D21310;СбытТЭ(ГЭС 13);;
D21311;СбытЭЭ(ГЭС 13);;
D21312;КорпЗащит(ГЭС 13);;
D21313;ОплТруда(ГЭС 13);;
D21314;ПодгКадр(ГЭС 13);;
D21315;Соц-труд(ГЭС 13);;
D21316;Ресурсооб(ГЭС 13);;
D21317;СкладЛог(ГЭС 13);;
D21318;Транспорт(ГЭС 13);;
D21319;Эконом. (ГЭС 13);;
D21320;УпрИмущ(ГЭС 13);;
D21321;Финансы(ГЭС 13);;
D21322;Бухгалт.(ГЭС 13);;
D21323;Развитие(ГЭС 13);;
D21324;КапСтрой(ГЭС 13);;
D21325;Технический (ГЭС 13;;
D214;ТЭЦ 14 Первомайская;;
D21401;Апп. ГД(ТЭЦ 14);;
D21402;ПравВопр(ТЭЦ 14);;
D21403;СвязОбщ.(ТЭЦ 14);;
D21404;АдмСерв(ТЭЦ 14);;
D21405;ГО и ЧС(ТЭЦ 14);;
D21406;Ремонт.(ТЭЦ 14);;
D21407;Эксплуат.(ТЭЦ 14);;
D21408;Произв.(ТЭЦ 14);;
D21409;Метролог(ТЭЦ 14);;
D21410;СбытТЭ(ТЭЦ 14);;
D21411;СбытЭЭ(ТЭЦ 14);;
D21412;КорпЗащит(ТЭЦ 14);;
D21413;ОплТруда(ТЭЦ 14);;
D21414;ПодгКадр(ТЭЦ 14);;
D21415;Соц-труд(ТЭЦ 14);;
D21416;Ресурсооб(ТЭЦ 14);;
D21417;СкладЛог(ТЭЦ 14);;
D21418;Транспорт(ТЭЦ 14);;
D21419;Эконом. (ТЭЦ 14);;
D21420;УпрИмущ(ТЭЦ 14);;
D21421;Финансы(ТЭЦ 14);;
D21422;Бухгалт.(ТЭЦ 14);;
D21423;Развитие(ТЭЦ 14);;
D21424;КапСтрой(ТЭЦ 14);;
D21425;Тех(ТЭЦ 14);;
D215;ТЭЦ 15 Автовская;;
D21501;Апп. ГД(ТЭЦ 15 );;
D21502;ПравВопр(ТЭЦ 15 );;
D21503;СвязОбщ.(ТЭЦ 15 );;
D21504;АдмСерв(ТЭЦ 15 );;
D21505;ГО и ЧС(ТЭЦ 15 );;
D21506;Ремонт.(ТЭЦ 15 );;
D21507;Эксплуат.(ТЭЦ 15 );;
D21508;Произв.(ТЭЦ 15 );;
D21509;Метролог(ТЭЦ 15 );;
D21510;СбытТЭ(ТЭЦ 15 );;
D21511;СбытЭЭ(ТЭЦ 15 );;
D21512;КорпЗащит(ТЭЦ 15 );;
D21513;ОплТруда(ТЭЦ 15 );;
D21514;ПодгКадр(ТЭЦ 15 );;
D21515;Соц-труд(ТЭЦ 15 );;
D21516;Ресурсооб(ТЭЦ 15 );;
D21517;СкладЛог(ТЭЦ 15 );;
D21518;Транспорт(ТЭЦ 15 );;
D21519;Эконом. (ТЭЦ 15 );;
D21520;УпрИмущ(ТЭЦ 15 );;
D21521;Финансы(ТЭЦ 15 );;
D21522;Бухгалт.(ТЭЦ 15 );;
D21523;Развитие(ТЭЦ 15 );;
D21524;КапСтрой(ТЭЦ 15 );;
D21525;Тех(ТЭЦ 15 );;
D217;ТЭЦ 17 Выборгская;;
D21701;Апп. ГД(ТЭЦ 17);;
D21702;ПравВопр(ТЭЦ 17);;
D21703;СвязОбщ.(ТЭЦ 17);;
D21704;АдмСерв(ТЭЦ 17);;
D21705;ГО и ЧС(ТЭЦ 17);;
D21706;Ремонт.(ТЭЦ 17);;
D21707;Эксплуат.(ТЭЦ 17);;
D21708;Произв.(ТЭЦ 17);;
D21709;Метролог(ТЭЦ 17);;
D21710;СбытТЭ(ТЭЦ 17);;
D21711;СбытЭЭ(ТЭЦ 17);;
D21712;КорпЗащит(ТЭЦ 17);;
D21713;ОплТруда(ТЭЦ 17);;
D21714;ПодгКадр(ТЭЦ 17);;
D21715;Соц-труд(ТЭЦ 17);;
D21716;Ресурсооб(ТЭЦ 17);;
D21717;СкладЛог(ТЭЦ 17);;
D21718;Транспорт(ТЭЦ 17);;
D21719;Эконом. (ТЭЦ 17);;
D21720;УпрИмущ(ТЭЦ 17);;
D21721;Финансы(ТЭЦ 17);;
D21722;Бухгалт.(ТЭЦ 17);;
D21723;Развитие(ТЭЦ 17);;
D21724;КапСтрой(ТЭЦ 17);;
D21725;Тех(ТЭЦ 17 );;
D220;Каскад Ладожских ГЭС;;
D22001;Апп. ГД(Ладожск.ГЭС);;
D22002;ПравВопр(Ладожск.ГЭС;;
D22003;СвязОбщ.(Ладожск.ГЭС;;
D22004;АдмСерв(Ладожск.ГЭС);;
D22005;ГО и ЧС(Ладожск.ГЭС);;
D22006;Ремонт.(Ладожск.ГЭС);;
D22007;Эксплуат.(Ладожск.ГЭ;;
D22008;Произв.(Ладожск.ГЭС);;
D22009;Метролог(Ладожск.ГЭС;;
D22010;СбытТЭ(Ладожск.ГЭС);;
D22011;СбытЭЭ(Ладожск.ГЭС);;
D22012;КорпЗащит(Ладожск.ГЭ;;
D22013;ОплТруда(Ладожск.ГЭС;;
D22014;ПодгКадр(Ладожск.ГЭС;;
D22015;Соц-труд(Ладожск.ГЭС;;
D22016;Ресурсооб(Ладожск.ГЭ;;
D22017;СкладЛог(Ладожск.ГЭС;;
D22018;Транспорт(Ладожск.ГЭ;;
D22019;Эконом. (Ладожск.ГЭС;;
D22020;УпрИмущ(Ладожск.ГЭС);;
D22021;Финансы(Ладожск.ГЭС);;
D22022;Бухгалт.(Ладожск.ГЭС;;
D22023;Развитие(Ладожск.ГЭС;;
D22024;КапСтрой(Ладожск.ГЭС;;
D22025;Тех(Ладожск.ГЭС);;
D221;ТЭЦ 21 Северная;;
D22101;Апп. ГД(ТЭЦ 21);;
D22102;ПравВопр(ТЭЦ 21);;
D22103;СвязОбщ.(ТЭЦ 21);;
D22104;АдмСерв(ТЭЦ 21);;
D22105;ГО и ЧС(ТЭЦ 21);;
D22106;Ремонт.(ТЭЦ 21);;
D22107;Эксплуат.(ТЭЦ 21);;
D22108;Произв.(ТЭЦ 21);;
D22109;Метролог(ТЭЦ 21);;
D22110;СбытТЭ(ТЭЦ 21);;
D22111;СбытЭЭ(ТЭЦ 21);;
D22112;КорпЗащит(ТЭЦ 21);;
D22113;ОплТруда(ТЭЦ 21);;
D22114;ПодгКадр(ТЭЦ 21);;
D22115;Соц-труд(ТЭЦ 21);;
D22116;Ресурсооб(ТЭЦ 21);;
D22117;СкладЛог(ТЭЦ 21);;
D22118;Транспорт(ТЭЦ 21);;
D22119;Эконом. (ТЭЦ 21);;
D22120;УпрИмущ(ТЭЦ 21);;
D22121;Финансы(ТЭЦ 21);;
D22122;Бухгалт.(ТЭЦ 21);;
D22123;Развитие(ТЭЦ 21);;
D22124;КапСтрой(ТЭЦ 21);;
D22125;Тех(ТЭЦ 21);;
D222;ТЭЦ 22 Южная;;
D22201;Апп. ГД(ТЭЦ 22);;
D22202;ПравВопр(ТЭЦ 22);;
D22203;СвязОбщ.(ТЭЦ 22);;
D22204;АдмСерв(ТЭЦ 22);;
D22205;ГО и ЧС(ТЭЦ 22);;
D22206;Ремонт.(ТЭЦ 22);;
D22207;Эксплуат.(ТЭЦ 22);;
D22208;Произв.(ТЭЦ 22);;
D22209;Метролог(ТЭЦ 22);;
D22210;СбытТЭ(ТЭЦ 22);;
D22211;СбытЭЭ(ТЭЦ 22);;
D22212;КорпЗащит(ТЭЦ 22);;
D22213;ОплТруда(ТЭЦ 22);;
D22214;ПодгКадр(ТЭЦ 22);;
D22215;Соц-труд(ТЭЦ 22);;
D22216;Ресурсооб(ТЭЦ 22);;
D22217;СкладЛог(ТЭЦ 22);;
D22218;Транспорт(ТЭЦ 22);;
D22219;Эконом. (ТЭЦ 22);;
D22220;УпрИмущ(ТЭЦ 22);;
D22221;Финансы(ТЭЦ 22);;
D22222;Бухгалт.(ТЭЦ 22);;
D22223;Развитие(ТЭЦ 22);;
D22224;КапСтрой(ТЭЦ 22);;
D22225;Тех(ТЭЦ 22);;
D230;Каскад Вуоксинских Г;;
D23001;Апп. ГД(ВуоксинскГЭС;;
D23002;ПравВопр(ВуоксинскГЭ;;
D23003;СвязОбщ.(ВуоксинскГЭ;;
D23004;АдмСерв(ВуоксинскГЭС;;
D23005;ГО и ЧС(ВуоксинскГЭС;;
D23006;Ремонт.(ВуоксинскГЭС;;
D23007;Экспл(ВуоксинскГЭС);;
D23008;Произв.(ВуоксинскГЭС;;
D23009;Метролог(ВуоксинскГЭ;;
D23010;СбытТЭ(ВуоксинскГЭС);;
D23011;СбытЭЭ(ВуоксинскГЭС);;
D23012;КорЗащ(ВуоксинскГЭС);;
D23013;ОплТруда(ВуоксинскГЭ;;
D23014;ПодгКадр(ВуоксинскГЭ;;
D23015;Соц-труд(ВуоксинскГЭ;;
D23016;РесуОб(ВуоксинскГЭС);;
D23017;СкладЛог(ВуоксинскГЭ;;
D23018;Трансп(ВуоксинскГЭС);;
D23019;Эконом. (ВуоксинскГЭ;;
D23020;УпрИмущ(ВуоксинскГЭС;;
D23021;Финансы(ВуоксинскГЭС;;
D23022;Бухгалт.(ВуоксинскГЭ;;
D23023;Развитие(ВуоксинскГЭ;;
D23024;КапСтрой(ВуоксинскГЭ;;
D23025;Тех(ВуоксинскГЭС);;
