ПФМ;Название;Описание
D36101;Апп. ГД(Петрозав.ТЭЦ;Апп. ГД(Петрозав.ТЭЦ)
D36102;ПравВопр(Петрозав.ТЭ;ПравВопр(Петрозав.ТЭЦ)
D36103;СвязОбщ.(Петрозав.ТЭ;СвязОбщ.(Петрозав.ТЭЦ)
D36104;АдмСерв(Петрозав.ТЭЦ;АдмСерв(Петрозав.ТЭЦ)
D36105;ГО и ЧС(Петрозав.ТЭЦ;ГО и ЧС(Петрозав.ТЭЦ)
D36106;Ремонт.(Петрозав.ТЭЦ;Ремонт.(Петрозав.ТЭЦ)
D36107;Экспл(Петрозав.ТЭЦ);Экспл(Петрозав.ТЭЦ)
D36108;Произв.(Петрозав.ТЭЦ;Произв.(Петрозав.ТЭЦ)
D36109;Метролог(Петрозав.ТЭ;Метролог(Петрозав.ТЭЦ)
D36110;СбытТЭ(Петрозав.ТЭЦ);СбытТЭ(Петрозав.ТЭЦ)
D36111;СбытЭЭ(Петрозав.ТЭЦ);СбытЭЭ(Петрозав.ТЭЦ)
D36112;КорЗащ(Петрозав.ТЭЦ);КорЗащ(Петрозав.ТЭЦ)
D36113;ОплТруда(Петрозав.ТЭ;ОплТруда(Петрозав.ТЭЦ)
D36114;ПодгКадр(Петрозав.ТЭ;ПодгКадр(Петрозав.ТЭЦ)
D36115;Соц-труд(Петрозав.ТЭ;Соц-труд(Петрозав.ТЭЦ)
D36116;РесуОб(Петрозав.ТЭЦ);РесуОб(Петрозав.ТЭЦ)
D36117;СкладЛог(Петрозав.ТЭ;СкладЛог(Петрозав.ТЭЦ)
D36118;Трансп(Петрозав.ТЭЦ);Трансп(Петрозав.ТЭЦ)
D36119;Эконом. (Петрозав.ТЭ;Эконом. (Петрозав.ТЭЦ)
D36120;УпрИмущ(Петрозав.ТЭЦ;УпрИмущ(Петрозав.ТЭЦ)
D36121;Финансы(Петрозав.ТЭЦ;Финансы(Петрозав.ТЭЦ)
D36122;Бухгалт.(Петрозав.ТЭ;Бухгалт.(Петрозав.ТЭЦ)
D36123;Развитие(Петрозав.ТЭ;Развитие(Петрозав.ТЭЦ)
D36124;КапСтрой(Петрозав.ТЭ;КапСтрой(Петрозав.ТЭЦ)
D36125;Тех(Петрозав.ТЭЦ);Технический(Петрозаводская ТЭЦ)
D370;Прионежский район;Прионежский район
D37001;Апп. ГД (Прионежс;Блок аппарата ген. директора (Прионежски
D37002;ПравВопр (Прионеж;Блок по правовым вопросам (Прионежский р
D37003;СвязОбщ (Прионежс;Блок по связям с общественностью (Прионе
D37004;АдмСерв (Прионежс;Административно-сервисный блок (Прионежс
D37005;ГО и ЧС (Прионежс;Блок по ГО и ЧС (Прионежский район)
D37006;Ремонт (Прионежск;Блок по ремонтам (Прионежский район)
D37007;Экспл.ТЭ (Прионеж;Блок по эксплуатации (Прионежский район)
D37008;Произв (Прионежск;Производственный блок (Прионежский район
D37009;Метролог (Прионеж;Блок метрологии (Прионежский район)
D37010;СбытТЭ (Прионежск;Блок  сбыта тепловой энергии (Прионежски
D37011;СбытЭЭ (Прионежск;Блок  сбыта электроэнергии (Прионежский
D37012;КорЗащ (Прионежск;Блок по корпоративной защите (Прионежски
D37013;ОплТруда (Прионеж;Блок по оплате труда (Прионежский район)
D37014;ПодгКадр (Прионеж;Блок по подготовке кадров (Прионежский р
D37015;Соц-труд (Прионеж;Блок социально-трудовых отн. (Прионежски
D37016;РесуОб (Прионежск;Блок по ресурсообеспечению (Прионежский
D37017;СкладЛог (Прионеж;Блок складской логистики (Прионежский ра
D37018;Трансп (Прионежск;Блок по транспорту (Прионежский район)
D37019;Эконом (Прионежск;Блок по экономике  (Прионежский район)
D37020;УпрИмущ (Прионежс;Блок управления имуществом (Прионежский
D37021;Финансы (Прионежс;Финансовый блок (Прионежский район)
D37022;Бухгалт (Прионежс;Бухгалтерия (Прионежский район)
D37023;Развитие (Прионеж;Блок по развитию (Прионежский район)
D37024;КапСтрой (Прионеж;Блок по кап. строительству (Прионежский
D37025;Технический(Прионежс;Технический(Прионежский район)
D380;Пряжинский район;Пряжинский район
D38001;Апп. ГД (Пряжинск;Блок апп. ген. дир. (Пряжинский район)
D38002;ПравВопр (Пряжинс;Блок по правов. вопр. (Пряжинский район)
D38003;СвязОбщ (Пряжинск;Блок по связям с общест. (Пряжин. район)
D38004;АдмСерв (Пряжинск;Административно-серв. блок (Пряж.район)
D38005;ГО и ЧС (Пряжинск;Блок по ГО и ЧС (Пряжинский район)
D38006;Ремонт (Пряжинск.;Блок по ремонтам (Пряжинский район)
D38007;Экспл.ТЭ (Пряжинс;Блок по эксплуатации (Пряжинский район)
D38008;Произв (Пряжинск.;Производственный блок (Пряжинский район)
D38009;Метролог (Пряжинс;Блок метрологии (Пряжинский район)
D38010;СбытТЭ (Пряжинск.;Блок сб. тепл. энерг. (Пряжинский район)
D38011;СбытЭЭ (Пряжинск.;Блок  сбыта электроэнергии (Пряжинский р
D38012;КорЗащ (Пряжинск.;Блок по корпоративной защите (Пряж. р.)
D38013;ОплТруда (Пряжинс;Блок по оплате труда (Пряжинский район)
D38014;ПодгКадр (Пряжинс;Блок по подготовке кадров (Пряж. район)
D38015;Соц-труд (Пряжинс;Блок социально-трудовых отн. (Пряж. р.)
D38016;РесуОб (Пряжинск.;Блок по ресурсообеспечению (Пряжинский р
D38017;СкладЛог (Пряжинс;Блок складской логистики (Пряж. район)
D38018;Трансп (Пряжинск.;Блок по транспорту (Пряжинский район)
D38019;Эконом (Пряжинск.;Блок по экономике  (Пряжинский район)
D38020;УпрИмущ (Пряжинск;Блок управления имуществом (Пряж. район)
D38021;Финансы (Пряжинск;Финансовый блок (Пряжинский район)
D38022;Бухгалт (Пряжинск;Бухгалтерия (Пряжинский район)
D38023;Развитие (Пряжинс;Блок по развитию (Пряжинский район)
D38024;КапСтрой (Пряжинс;Блок по кап. строительству (Пряжинский р
D38025;Технический(Пряжинск;Технический(Пряжинский район)
D400;Кольский;Кольский
D40001;Апп. ГД(Кольский);Апп. ГД(Кольский)
D40002;ПравВопр(Кольский);ПравВопр(Кольский)
D40003;СвязОбщ.(Кольский);СвязОбщ.(Кольский)
D40004;АдмСерв(Кольский);АдмСерв(Кольский)
D40005;ГО и ЧС(Кольский);ГО и ЧС(Кольский)
D40006;Ремонт.(Кольский);Ремонт.(Кольский)
D40007;Эксплуат.(Кольский);Эксплуат.(Кольский)
D40008;Произв.(Кольский);Произв.(Кольский)
D40009;Метролог(Кольский);Метролог(Кольский)
D40010;СбытТЭ(Кольский);СбытТЭ(Кольский)
D40011;СбытЭЭ(Кольский);СбытЭЭ(Кольский)
D40012;КорпЗащит(Кольский);КорпЗащит(Кольский)
D40013;ОплТруда(Кольский);ОплТруда(Кольский)
D40014;ПодгКадр(Кольский);ПодгКадр(Кольский)
D40015;Соц-труд(Кольский);Соц-труд(Кольский)
D40016;Ресурсооб(Кольский);Ресурсооб(Кольский)
D40017;СкладЛог(Кольский);СкладЛог(Кольский)
D40018;Транспорт(Кольский);Транспорт(Кольский)
D40019;Эконом. (Кольский);Эконом. (Кольский)
D40020;УпрИмущ(Кольский);УпрИмущ(Кольский)
D40021;Финансы(Кольский);Финансы(Кольский)
D40022;Бухгалт.(Кольский);Бухгалт.(Кольский)
D40023;Развитие(Кольский);Блок по развитию (Управ. фил. Кольский)
D40024;КапСтрой(Кольский);КапСтрой(Кольский)
D40025;Тех(Кольский);Технический(Управление филиала Кольский)
D420;Каскад Нивских ГЭС;Каскад Нивских ГЭС
D42001;Апп. ГД(НивскиеГЭС);Апп. ГД(НивскиеГЭС)
D42002;ПравВопр(НивскиеГЭС);ПравВопр(НивскиеГЭС)
D42003;СвязОбщ.(НивскиеГЭС);СвязОбщ.(НивскиеГЭС)
D42004;АдмСерв(НивскиеГЭС);АдмСерв(НивскиеГЭС)
D42005;ГО и ЧС(НивскиеГЭС);ГО и ЧС(НивскиеГЭС)
D42006;Ремонт.(НивскиеГЭС);Ремонт.(НивскиеГЭС)
D42007;Эксплуат.(НивскиеГЭС;Эксплуат.(НивскиеГЭС)
D42008;Произв.(НивскиеГЭС);Произв.(НивскиеГЭС)
D42009;Метролог(НивскиеГЭС);Метролог(НивскиеГЭС)
D42010;СбытТЭ(НивскиеГЭС);СбытТЭ(НивскиеГЭС)
D42011;СбытЭЭ(НивскиеГЭС);СбытЭЭ(НивскиеГЭС)
D42012;КорпЗащит(НивскиеГЭС;КорпЗащит(НивскиеГЭС)
D42013;ОплТруда(НивскиеГЭС);ОплТруда(НивскиеГЭС)
D42014;ПодгКадр(НивскиеГЭС);ПодгКадр(НивскиеГЭС)
D42015;Соц-труд(НивскиеГЭС);Соц-труд(НивскиеГЭС)
D42016;Ресурсооб(НивскиеГЭС;Ресурсооб(НивскиеГЭС)
D42017;СкладЛог(НивскиеГЭС);СкладЛог(НивскиеГЭС)
D42018;Транспорт(НивскиеГЭС;Транспорт(НивскиеГЭС)
D42019;Эконом. (НивскиеГЭС);Эконом. (НивскиеГЭС)
D42020;УпрИмущ(НивскиеГЭС);УпрИмущ(НивскиеГЭС)
D42021;Финансы(НивскиеГЭС);Финансы(НивскиеГЭС)
D42022;Бухгалт.(НивскиеГЭС);Бухгалт.(НивскиеГЭС)
D42023;Развитие(НивскиеГЭС);Развитие(НивскиеГЭС)
D42024;КапСтрой(НивскиеГЭС);КапСтрой(НивскиеГЭС)
D42025;Тех(НивскиеГЭС);Технический (Каскад Нивских ГЭС)
D430;Каскад Пазских ГЭС;Каскад Пазских ГЭС
D43001;Апп. ГД(ПазскиеГЭС);Апп. ГД(ПазскиеГЭС)
D43002;ПравВопр(ПазскиеГЭС);ПравВопр(ПазскиеГЭС)
D43003;СвязОбщ.(ПазскиеГЭС);СвязОбщ.(ПазскиеГЭС)
D43004;АдмСерв(ПазскиеГЭС);АдмСерв(ПазскиеГЭС)
D43005;ГО и ЧС(ПазскиеГЭС);ГО и ЧС(ПазскиеГЭС)
D43006;Ремонт.(ПазскиеГЭС);Ремонт.(ПазскиеГЭС)
D43007;Эксплуат.(ПазскиеГЭС;Эксплуат.(ПазскиеГЭС)
D43008;Произв.(ПазскиеГЭС);Произв.(ПазскиеГЭС)
D43009;Метролог(ПазскиеГЭС);Метролог(ПазскиеГЭС)
D43010;СбытТЭ(ПазскиеГЭС);СбытТЭ(ПазскиеГЭС)
D43011;СбытЭЭ(ПазскиеГЭС);СбытЭЭ(ПазскиеГЭС)
D43012;КорпЗащит(ПазскиеГЭС;КорпЗащит(ПазскиеГЭС)
D43013;ОплТруда(ПазскиеГЭС);ОплТруда(ПазскиеГЭС)
D43014;ПодгКадр(ПазскиеГЭС);ПодгКадр(ПазскиеГЭС)
D43015;Соц-труд(ПазскиеГЭС);Соц-труд(ПазскиеГЭС)
D43016;Ресурсооб(ПазскиеГЭС;Ресурсооб(ПазскиеГЭС)
D43017;СкладЛог(ПазскиеГЭС);СкладЛог(ПазскиеГЭС)
D43018;Транспорт(ПазскиеГЭС;Транспорт(ПазскиеГЭС)
D43019;Эконом. (ПазскиеГЭС);Эконом. (ПазскиеГЭС)
D43020;УпрИмущ(ПазскиеГЭС);УпрИмущ(ПазскиеГЭС)
D43021;Финансы(ПазскиеГЭС);Финансы(ПазскиеГЭС)
D43022;Бухгалт.(ПазскиеГЭС);Бухгалт.(ПазскиеГЭС)
D43023;Развитие(ПазскиеГЭС);Развитие(ПазскиеГЭС)
D43024;КапСтрой(ПазскиеГЭС);КапСтрой(ПазскиеГЭС)
D43025;Тех(ПазскиеГЭС);Технический (Каскад Пазских ГЭС)
D440;Каскад ТуломскСерГЭС;Каскад ТуломскСерГЭС
D44001;Апп. ГД(Туломск.ГЭС);Апп. ГД(Туломск.ГЭС)
D44002;ПравВопр(Туломск.ГЭС;ПравВопр(Туломск.ГЭС)
D44003;СвязОбщ.(Туломск.ГЭС;СвязОбщ.(Туломск.ГЭС)
D44004;АдмСерв(Туломск.ГЭС);АдмСерв(Туломск.ГЭС)
D44005;ГО и ЧС(Туломск.ГЭС);ГО и ЧС(Туломск.ГЭС)
D44006;Ремонт.(Туломск.ГЭС);Ремонт.(Туломск.ГЭС)
D44007;Эксплуат.(Туломск.ГЭ;Эксплуат.(Туломск.ГЭС)
D44008;Произв.(Туломск.ГЭС);Произв.(Туломск.ГЭС)
D44009;Метролог(Туломск.ГЭС;Метролог(Туломск.ГЭС)
D44010;СбытТЭ(Туломск.ГЭС);СбытТЭ(Туломск.ГЭС)
D44011;СбытЭЭ(Туломск.ГЭС);СбытЭЭ(Туломск.ГЭС)
D44012;КорпЗащит(Туломск.ГЭ;КорпЗащит(Туломск.ГЭС)
D44013;ОплТруда(Туломск.ГЭС;ОплТруда(Туломск.ГЭС)
D44014;ПодгКадр(Туломск.ГЭС;ПодгКадр(Туломск.ГЭС)
D44015;Соц-труд(Туломск.ГЭС;Соц-труд(Туломск.ГЭС)
D44016;Ресурсооб(Туломск.ГЭ;Ресурсооб(Туломск.ГЭС)
D44017;СкладЛог(Туломск.ГЭС;СкладЛог(Туломск.ГЭС)
D44018;Транспорт(Туломск.ГЭ;Транспорт(Туломск.ГЭС)
D44019;Эконом. (Туломск.ГЭС;Эконом. (Туломск.ГЭС)
D44020;УпрИмущ(Туломск.ГЭС);УпрИмущ(Туломск.ГЭС)
D44021;Финансы(Туломск.ГЭС);Финансы(Туломск.ГЭС)
D44022;Бухгалт.(Туломск.ГЭС;Бухгалт.(Туломск.ГЭС)
D44023;Развитие(Туломск.ГЭС;Развитие(Туломск.ГЭС)
D44024;КапСтрой(Туломск.ГЭС;КапСтрой(Туломск.ГЭС)
D44025;Тех(Туломск.ГЭС);Технический (Каскад ТуломскСеребрян.ГЭС)
D461;Апатитская ТЭЦ;Апатитская ТЭЦ
D46101;Апп. ГД(Апатит.ТЭЦ);Апп. ГД(Апатит.ТЭЦ)
D46102;ПравВопр(Апатит.ТЭЦ);ПравВопр(Апатит.ТЭЦ)
D46103;СвязОбщ.(Апатит.ТЭЦ);СвязОбщ.(Апатит.ТЭЦ)
D46104;АдмСерв(Апатит.ТЭЦ);АдмСерв(Апатит.ТЭЦ)
D46105;ГО и ЧС(Апатит.ТЭЦ);ГО и ЧС(Апатит.ТЭЦ)
D46106;Ремонт.(Апатит.ТЭЦ);Ремонт.(Апатит.ТЭЦ)
D46107;Эксплуат.(Апатит.ТЭЦ;Эксплуат.(Апатит.ТЭЦ)
D46108;Произв.(Апатит.ТЭЦ);Произв.(Апатит.ТЭЦ)
D46109;Метролог(Апатит.ТЭЦ);Метролог(Апатит.ТЭЦ)
D46110;СбытТЭ(Апатит.ТЭЦ);СбытТЭ(Апатит.ТЭЦ)
D46111;СбытЭЭ(Апатит.ТЭЦ);СбытЭЭ(Апатит.ТЭЦ)
D46112;КорпЗащит(Апатит.ТЭЦ;КорпЗащит(Апатит.ТЭЦ)
D46113;ОплТруда(Апатит.ТЭЦ);ОплТруда(Апатит.ТЭЦ)
D46114;ПодгКадр(Апатит.ТЭЦ);ПодгКадр(Апатит.ТЭЦ)
D46115;Соц-труд(Апатит.ТЭЦ);Соц-труд(Апатит.ТЭЦ)
D46116;Ресурсооб(Апатит.ТЭЦ;Ресурсооб(Апатит.ТЭЦ)
D46117;СкладЛог(Апатит.ТЭЦ);СкладЛог(Апатит.ТЭЦ)
D46118;Транспорт(Апатит.ТЭЦ;Транспорт(Апатит.ТЭЦ)
D46119;Эконом. (Апатит.ТЭЦ);Эконом. (Апатит.ТЭЦ)
D46120;УпрИмущ(Апатит.ТЭЦ);УпрИмущ(Апатит.ТЭЦ)
D46121;Финансы(Апатит.ТЭЦ);Финансы(Апатит.ТЭЦ)
D46122;Бухгалт.(Апатит.ТЭЦ);Бухгалт.(Апатит.ТЭЦ)
D46123;Развитие(Апатит.ТЭЦ);Развитие(Апатит.ТЭЦ)
D46124;КапСтрой(Апатит.ТЭЦ);КапСтрой(Апатит.ТЭЦ)
D46125;Тех(Апатитская ТЭЦ);Технический (Апатитская ТЭЦ)
T001;Техническое ПФМ;Техническое ПФМ
T002;Техническое ПФМ - 2;Техническое ПФМ - 2